LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,DebtToIncomeRatio,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance,CreditScore
1108.44,34847.84,3037.99,6,1,1,605.03,20.83,320,0,18.82,40.39,484.59,557
1068.72,34847.84,3037.99,6,1,1,605.03,20.83,323,0,18.82,130.12,444.87,596
1105.36,34847.84,3037.99,6,1,0,605.03,20.83,324,0,18.82,43.48,481.51,574
979.93,34847.84,3037.99,6,1,4,605.03,20.83,326,0,18.82,218.9,356.08,617
1082.48,30689.89,2612.49,4,1,6,632.46,24.73,207,0,16.42,81.23,433.6,775
1058.83,30689.89,2612.49,4,1,3,632.46,24.73,208,0,16.42,124.88,409.95,754
1060.31,30689.89,2612.49,4,1,9,632.46,24.73,209,0,16.42,83.41,411.43,748
1338.18,35547.71,2853.31,5,0,15,943.86,31.86,374,1,0,181.01,394.32,788
818.87,73928.46,5988.71,8,0,7,548.2,8.90,386,0,0,618.2,270.67,575
1972.31,114838.41,9843.87,7,3,11,1377.74,14.40,260,0,226.89,649.81,367.68,822
695.21,31370.8,2825.23,12,2,0,421.43,16.12,318,0,46.62,298.74,227.16,595
1793.66,33751.27,2948.61,20,3,20,1328.93,47.25,231,1,65.01,70.13,399.72,695
1838.6,33751.27,2948.61,20,3,22,1328.93,47.25,233,1,65.01,25.19,444.66,757
1800.93,33751.27,2948.61,20,3,20,1328.93,47.25,235,1,65.01,72.86,406.99,783
1628.84,88640.24,7266.69,1,2,0,950.36,12.87,307,0,135.17,298.19,543.31,802
1647.41,88640.24,7266.69,1,2,2,950.36,12.87,309,0,135.17,279.62,561.88,521
1280.9,88640.24,7266.69,1,2,0,950.36,12.87,310,0,135.17,686.13,195.37,539
682.15,54392.16,4766.68,14,3,8,179.22,3.95,322,1,124.39,243.74,378.54,655
451.04,54392.16,4766.68,14,3,7,179.22,3.95,325,1,124.39,494.84,147.43,826
712.77,54392.16,4766.68,14,3,8,179.22,3.95,326,1,124.39,233.12,409.16,787
767.77,54392.16,4766.68,14,3,8,179.22,3.95,328,1,124.39,158.11,464.16,789
450.77,54392.16,4766.68,14,3,8,179.22,3.95,329,1,124.39,495.12,147.16,664
2889.89,8701.55,519.13,32,7,9,2602.69,358.93,108,1,36.55,34.72,250.65,421
2924.21,8701.55,519.13,32,7,7,2602.69,358.93,110,1,36.55,20.39,284.97,428
2894.12,8701.55,519.13,32,7,9,2602.69,358.93,111,1,36.55,50.49,254.88,368
1196.92,25546.26,2415.86,14,5,14,758.44,35.63,218,0,101.33,53.1,337.15,796
1178.81,25546.26,2415.86,14,5,10,758.44,35.63,220,1,101.33,91.22,319.04,669
1159.73,25546.26,2415.86,14,5,14,758.44,35.63,224,1,101.33,130.3,299.96,741
1310.43,31993.78,2942.15,7,2,14,818.22,30.69,202,1,45.14,82,447.07,705
2057.71,92047.08,7591.59,16,0,11,1296.64,16.90,357,1,0,268.08,761.07,330
1598.35,32284.62,2898.39,17,6,12,1283.37,47.70,77,1,103.04,254.86,211.94,837
1740,32284.62,2898.39,17,6,12,1283.37,47.70,78,1,103.04,103.21,353.59,630
1777.42,32284.62,2898.39,17,6,12,1283.37,47.70,79,1,103.04,35.79,391.01,829
1582.99,32284.62,2898.39,17,6,12,1283.37,47.70,80,1,103.04,280.22,196.58,802
1503.44,32284.62,2898.39,17,6,12,1283.37,47.70,84,1,103.04,359.77,117.03,710
1676.85,97791.42,7449.47,12,0,8,107.41,1.32,331,1,629.82,108.3,939.62,614
2786.15,19300.34,1512.36,17,5,18,2430.21,151.10,219,0,49.57,55.3,306.37,372
1159.59,19514.88,1828.24,17,0,15,881.4,54.20,237,0,0,184.63,278.19,301
1977.53,10183.02,1074.58,17,5,18,1672.43,197.08,122,0,37.59,92.36,267.51,485
1978.01,10183.02,1074.58,17,5,23,1672.43,197.08,123,1,37.59,91.88,267.99,429
890,12600.45,782.04,10,3,19,569.8,54.26,152,1,26.06,48.01,294.14,397
4050.19,57983.12,4720.93,31,8,21,3532.83,73.11,152,1,200.43,234.73,316.93,810
2978.49,34290.12,2697.51,25,7,10,2686.81,94.03,164,0,185.11,248.07,106.57,383
1784.81,43070.24,3622.19,18,1,8,1233.1,34.36,232,1,30.58,50.51,521.13,637
1687.23,43070.24,3622.19,18,1,8,1233.1,34.36,234,1,30.58,178.1,423.55,668
1793.99,43070.24,3622.19,18,1,8,1233.1,34.36,235,1,30.58,41.33,530.31,848
1756.7,43070.24,3622.19,18,1,8,1233.1,34.36,236,1,30.58,108.62,493.02,787
2621.43,39641.54,3007.46,25,6,15,2258.73,68.37,106,1,172.38,198.04,190.32,312
2680.21,39641.54,3007.46,25,6,13,2258.73,68.37,111,1,172.38,149.27,249.1,385
805.44,20186.02,1684.17,1,2,3,413.32,24.57,221,0,29.53,26.29,362.59,612
6714.44,20186.02,1684.17,1,2,6,413.32,24.57,225,0,5994,121.77,307.12,675
2136.48,18627.64,1387.3,19,6,22,1793.54,115.54,228,1,65.14,75.79,277.8,747
2102.68,18627.64,1387.3,19,6,21,1793.54,115.54,230,1,65.14,109.59,244,310
2123.47,18627.64,1387.3,19,6,18,1793.54,115.54,232,1,65.14,98.8,264.79,508
1821.22,12986.75,959.23,10,2,17,1489.49,137.63,105,1,16.72,44.19,315.01,691
1818.15,12986.75,959.23,10,2,20,1489.49,137.63,106,1,16.72,47.27,311.94,786
1803.07,12986.75,959.23,10,2,18,1489.49,137.63,108,1,16.72,72.35,296.86,813
1783.58,12986.75,959.23,10,2,17,1489.49,137.63,111,1,16.72,91.83,277.37,753
732.15,58317,4664.75,9,6,20,98.97,2.04,158,1,149.9,83.3,483.28,780
464.86,58317,4664.75,9,6,20,98.97,2.04,163,1,149.9,380.59,215.99,747
1086.36,42171.98,3764.33,10,3,8,556.91,15.85,258,0,102.76,136.98,426.69,759
1985.63,71681.4,5799.45,15,1,6,1293.02,21.65,308,1,53.92,137.33,638.69,827
1909.64,71681.4,5799.45,15,1,10,1293.02,21.65,309,1,53.92,253.32,562.7,709
1992.07,71681.4,5799.45,15,1,8,1293.02,21.65,310,1,53.92,120.89,645.13,620
3867.2,29469.98,2227.83,24,5,21,3421.66,139.33,161,1,69.69,27.25,375.85,311
3853.18,29469.98,2227.83,24,5,21,3421.66,139.33,162,1,69.69,71.26,361.83,342
3870.38,29469.98,2227.83,24,5,21,3421.66,139.33,165,1,69.69,24.07,379.03,437
1506.42,72559.36,6284.61,17,4,21,1173.7,19.41,335,0,215.84,565.74,116.88,797
1969.67,72559.36,6284.61,17,4,19,1173.7,19.41,341,0,215.84,82.5,580.13,690
2060.28,15566.02,1423.17,32,4,1338,1693.95,130.59,94,1,43.07,65.99,323.26,385
1956.65,15566.02,1423.17,32,4,20,1693.95,130.59,95,1,43.07,169.62,219.63,303
38353.98,66567.32,5800.28,5,2,15,233.79,4.21,291,0,37602,251.65,518.19,668
937.44,12909.9,853.82,13,0,14,602.5,56.00,205,0,0,20.45,334.94,781
910.72,12909.9,853.82,13,0,14,602.5,56.00,206,0,0,67.16,308.22,737
863.68,12909.9,853.82,13,0,14,602.5,56.00,207,0,0,114.2,261.18,644
3925.13,30788.44,2623.7,31,6,20,3470.08,135.25,17,1,114.53,97.31,340.52,779
3919.46,30788.44,2623.7,31,6,21,3470.08,135.25,19,1,114.53,72.98,334.85,798
1021.63,20574.47,1740.54,14,4,10,749.95,43.74,136,1,49.35,192.37,222.33,746
1074.73,20574.47,1740.54,14,4,7,749.95,43.74,137,1,49.35,119.27,275.43,669
1591.53,148699.32,12432.61,5,3,6,949.38,7.66,372,0,364.92,861.12,277.23,543
1891.28,85554.03,7185.5,3,0,7,1095.73,15.37,235,0,0,163,795.55,563
3994.89,18334118,4369.48,18,8,18,3422.49,0.22,126,1,314.9,124.54,257.5,796
3077.16,14165.23,1057.44,33,9,24,2797.17,236.96,171,1,58.87,105.76,221.12,395
3137.29,14165.23,1057.44,33,9,24,2797.17,236.96,173,1,58.87,45.63,281.25,330
3809.11,81842.28,6810.19,25,9,19,3053.16,44.77,9,1,574.07,165.07,181.88,647
1892.35,95956.5,8279.38,11,2,10,1079.73,13.50,380,0,95.52,265.31,717.1,701
1649.86,95956.5,8279.38,11,2,13,1079.73,13.50,383,0,95.52,517.8,474.61,766
1410.06,95956.5,8279.38,11,2,10,1079.73,13.50,385,0,95.52,777.6,234.81,534
2832.86,49967.01,4091.92,31,6,11,2253.95,54.13,204,1,156,80.28,422.91,396
2569.97,49967.01,4091.92,31,6,11,2253.95,54.13,205,1,156,373.17,160.02,394
3523.1,39887.22,3224.94,16,5,21,3119.6,93.85,149,1,133.47,199,270.03,390
3596,39887.22,3224.94,16,5,19,3119.6,93.85,153,1,133.47,96.1,342.93,486
3590.42,39887.22,3224.94,16,5,19,3119.6,93.85,155,1,133.47,111.67,337.35,314
4338.42,14129.76,1012.48,21,8,17,4071.62,345.79,151,1,81.71,124.45,185.09,405
4378.76,14129.76,1023.22,21,8,18,4071.62,345.79,158,0,70.98,33.38,236.16,388
1601.35,123732.32,10416.03,11,0,8,1154.46,11.20,329,0,0,874.71,446.89,746
2810.5,17251.38,1654.62,7,7,15,2431.64,169.14,137,0,57.35,26.6,321.51,745
2734.66,17251.38,1654.62,7,7,12,2431.64,169.14,138,1,57.35,132.44,245.67,704
448.71,36822.29,3132.52,6,4,19,125.25,4.08,297,0,95.8,259.79,227.66,771
604.57,36822.29,3132.52,6,4,19,125.25,4.08,299,0,95.8,73.93,383.52,586
466.52,36822.29,3132.52,6,4,19,125.25,4.08,303,0,95.8,251.98,245.47,578
1404.85,80108.31,6866.69,17,0,16,997.28,14.94,213,1,0,549.1,407.57,742
3742.3,69977.6,5978.47,20,9,18,3042.36,52.17,154,1,485.75,177.91,214.19,810
2553.76,78988.48,6449.37,29,7,17,1746.9,26.54,121,1,291.78,88.07,515.08,397
2366.23,78988.48,6449.37,29,7,17,1746.9,26.54,123,1,291.78,295.61,327.55,401
2272.59,78988.48,6449.37,29,7,15,1746.9,26.54,126,1,291.78,399.25,233.91,396
2510.42,41746.76,3651.9,31,3,22,1936.79,55.67,230,1,102.28,31.56,471.35,697
2437.55,41746.76,3651.9,31,3,21,1936.79,55.67,232,1,102.28,134.42,398.48,348
2499.18,41746.76,3651.9,31,3,18,1936.79,55.67,233,1,102.28,42.79,460.11,794
1949.9,73737.36,5936.78,18,4,20,1219.39,19.84,374,1,214.81,113.16,515.7,631
1679.01,73737.36,5936.78,18,4,20,1219.39,19.84,377,1,214.81,424.06,244.81,636
1018.1,88362.46,7255.54,8,3,8,325.93,4.43,371,0,211.18,283.38,480.99,559
1116.87,88362.46,7255.54,8,3,6,325.93,4.43,373,0,211.18,214.61,579.76,614
1214.98,118248.6,10115.05,4,0,10,191.09,1.94,205,0,0,227.62,1023.89,616
946.7,118248.6,10115.05,4,0,7,191.09,1.94,207,0,0,545.9,755.61,609
878.13,118248.6,10115.05,4,0,13,191.09,1.94,212,0,0,614.47,687.04,564
1727.18,60162.1,5197.51,5,7,10,1037.45,20.69,158,1,220.21,80.01,469.52,668
1653.75,60162.1,5197.51,5,7,10,1037.45,20.69,159,1,220.21,153.45,396.09,749
3458.19,75273.24,6424.02,32,5,10,2497.34,39.81,68,1,351.37,73.18,609.48,397
5035.08,54820.89,4295.41,28,6,20,4795.13,104.96,35,1,169.48,479.59,70.47,821
5297.54,54820.89,4295.41,28,6,17,4795.13,104.96,41,0,169.48,177.13,332.93,672
5355.79,54820.89,4295.41,28,6,17,4795.13,104.96,42,1,169.48,118.88,391.18,679
6782.34,58674.66,4824.56,15,4,23,2425.38,49.60,161,1,3864,113.4,492.96,767
2569.12,58674.66,4824.56,15,4,25,2425.38,49.60,162,1,116.1,628.71,27.64,832
1041.55,30390.44,2721.54,5,4,17,580.31,22.91,294,0,64.85,60.91,396.39,690
2762.47,45207.54,3507.3,24,6,22,2497.48,66.29,197,1,148.91,375.73,116.08,432
3009.12,45207.54,3507.3,24,6,20,2497.48,66.29,200,1,148.91,119.09,362.73,411
746.26,30346.35,2651.86,14,7,9,523.56,20.70,101,1,96.72,332.49,125.98,639
713.41,18681.47,1584.79,9,2,8,327.88,21.06,375,0,24.82,32.95,360.71,590
5277.91,9841.34,690.11,31,5,15,4984.82,607.82,54,0,36.68,55.92,256.41,831
3029.57,43241.49,3282.27,30,6,14,2174.16,60.34,152,1,460.43,50.83,394.98,702
2985.8,43241.49,3282.27,30,6,17,2174.16,60.34,153,1,460.43,94.6,351.21,849
1374.38,17001.34,1214.78,5,1,20,1093.87,77.21,208,0,10.54,120.97,269.97,820
1453.45,17001.34,1214.78,5,1,18,1093.87,77.21,209,0,10.54,51.91,349.04,471
1414.76,17001.34,1214.78,5,1,21,1093.87,77.21,212,0,10.54,50.59,310.35,637
4307.87,44719.17,3969.6,29,7,20,3818.57,102.47,156,0,248.6,167.66,240.7,321
4169.36,44719.17,3969.6,29,7,20,3818.57,102.47,158,1,248.6,316.17,102.19,468
4349.77,44719.17,3969.6,29,7,19,3818.57,102.47,162,1,248.6,115.76,282.6,463
1072.83,17787.34,1242.28,16,2,15,730.9,49.31,357,0,20.06,42.3,321.87,704
1015.98,17787.34,1242.28,16,2,16,730.9,49.31,362,0,20.06,119.15,265.02,687
1473.46,103353.06,8527.76,6,1,9,1374.56,15.96,310,0,64,1043.87,34.9,560
2400.23,103353.06,8527.76,6,1,12,1374.56,15.96,314,0,64,67.11,961.67,534
1309.91,31021.24,2756.1,11,4,21,852.81,32.99,394,0,90.76,68.51,366.34,693
1261.43,31021.24,2756.1,11,4,20,852.81,32.99,396,0,90.76,136.99,317.86,691
1235.02,31021.24,2756.1,11,4,20,852.81,32.99,398,0,90.76,153.4,291.45,737
1311.44,31021.24,2756.1,11,4,20,852.81,32.99,399,0,90.76,56.98,367.87,753
1317.33,31021.24,2756.1,11,4,20,852.81,32.99,400,0,90.76,81.09,373.76,832
1894.54,134978.24,11059.19,15,2,16,668.14,5.94,315,1,145.11,129.52,1081.29,846
1908.1,134978.24,10541.52,15,2,16,668.14,5.94,319,1,662.78,663.63,577.18,596
845.22,39800.12,3047.68,12,3,18,660.69,19.92,215,1,58.49,410.24,126.04,822
1181.67,39800.12,3047.68,12,3,18,660.69,19.92,216,1,58.49,33.79,462.49,534
1094.42,39800.12,3047.68,12,3,18,660.69,19.92,218,1,58.49,121.04,375.24,723
971,39800.12,3047.68,12,3,20,660.69,19.92,220,1,58.49,274.46,251.82,772
4216.03,14841.35,1437.78,17,7,16,3865.15,312.52,90,1,71.54,82.89,279.34,800
